,Domain,Course,Similarity,jobSkills,courseSkills
10,Front End Software Engineer,CSE 114,0.1401926294018171,"programming,using,including,evaluating,existing,evolving,executing,exercising,exceeding,engaging,interface,user,xul,gwt,xaml,flex,framework,cs,javascript,application","registering,hiding,programming,exploiting,explaining,existing,fitting,finding,filtering,hd,course,encapsulation,array,inheritance,polymorphism,record,procedure,file,exception"
11,"Interaction Designer, Publisher UX",CSE 114,0.1401926294018171,"expanding,defining,solving,evolving,exercising,exceeding,executing,evaluating,estimating,establishing,interaction,design,component,desktop,pattern,teamwork,create,designing,challenge,application","registering,hiding,programming,exploiting,explaining,existing,fitting,finding,filtering,hd,course,encapsulation,array,inheritance,polymorphism,record,procedure,file,exception"
12,"Strategic Technology Partner Manager, Healthcare and Life Sciences",CSE 114,0.1401926294018171,"growing,designing,developing,managing,working,evolving,exceeding,executing,exercising,establishing,life,healthcare,science,engineering,year,launch,partnership,variety,background,application","registering,hiding,programming,exploiting,explaining,existing,fitting,finding,filtering,hd,course,encapsulation,array,inheritance,polymorphism,record,procedure,file,exception"
13,"High Performance Computing (HPC) Specialist, Google Cloud",CSE 114,0.1345376650508689,"passing,routing,architecting,programming,emerging,developing,including,evolving,exceeding,establishing,infrastructure,mpi,infiniband,docker,container,balancer,firewall,pitch,load,interface","registering,hiding,programming,exploiting,explaining,existing,fitting,finding,filtering,hd,course,encapsulation,array,inheritance,polymorphism,record,procedure,file,exception"
14,"UX Engineer, Front End",CSE 114,0.1345376650508689,"scripting,including,solving,executing,exceeding,evaluating,evolving,estimating,establishing,fighting,user,framework,backbone,pre,ember,accessibility,design,ruby,processing,interface","registering,hiding,programming,exploiting,explaining,existing,fitting,finding,filtering,hd,course,encapsulation,array,inheritance,polymorphism,record,procedure,file,exception"
15,"Marketing Analyst, Product Growth",CSE 114,0.1341828923476369,"translating,evolving,exceeding,executing,evaluating,estimating,establishing,fighting,facing,finishing,retention,mapreduce,sa,hadoop,matlab,acquisition,analysis,package,php,programming","registering,hiding,programming,exploiting,explaining,existing,fitting,finding,filtering,hd,course,encapsulation,array,inheritance,polymorphism,record,procedure,file,exception"
16,"Business Systems Analyst, PLM and CAD",CSE 114,0.1274035488206305,"changing,exercising,existing,evolving,executing,exceeding,evaluating,establishing,expanding,estimating,chain,supply,background,windchill,creo,agile,deal,implementation,ambiguity,database","registering,hiding,programming,exploiting,explaining,existing,fitting,finding,filtering,hd,course,encapsulation,array,inheritance,polymorphism,record,procedure,file,exception"
17,Staffing Services Associate Lead,CSE 114,0.1274035488206305,"structuring,achieving,scripting,working,including,exceeding,executing,evolving,evaluating,estimating,line,influence,inform,employee,optimization,create,story,decision,analyze,database","registering,hiding,programming,exploiting,explaining,existing,fitting,finding,filtering,hd,course,encapsulation,array,inheritance,polymorphism,record,procedure,file,exception"
18,People Partner,CSE 114,0.1273301816913054,"coaching,working,solving,following,planning,consulting,exceeding,evaluating,finishing,finding,consultation,action,leader,change,recommendation,analysis,trend,set,quo,understand","registering,hiding,programming,exploiting,explaining,existing,fitting,finding,filtering,hd,course,encapsulation,array,inheritance,polymorphism,record,procedure,file,exception"
19,"Data Analyst, Trust and Safety",CSE 114,0.1252670874819159,"reducing,learning,executing,evaluating,exceeding,evolving,engaging,estimating,establishing,exercising,malware,cyber,science,computer,fun,mining,risk,mathematics,machine,method","registering,hiding,programming,exploiting,explaining,existing,fitting,finding,filtering,hd,course,encapsulation,array,inheritance,polymorphism,record,procedure,file,exception"
20,Financial Accountant/Controller,CSE 214,0.1637262649368494,"including,exercising,evolving,exceeding,executing,evaluating,estimating,establishing,existing,filing,compliance,accounting,entity,jurisdiction,depth,requirement,oracle,erp,matter,spreadsheet","programming,searching,sorting,exploiting,writing,explaining,existing,fitting,filtering,editing,queue,extension,efficiency,list,priority,comparison,manipulation,graph,stack,java"
21,"High Performance Computing (HPC) Specialist, Google Cloud",CSE 214,0.1564927053172141,"passing,routing,architecting,programming,emerging,developing,including,evolving,exceeding,establishing,infrastructure,mpi,infiniband,docker,container,balancer,firewall,pitch,load,interface","programming,searching,sorting,exploiting,writing,explaining,existing,fitting,filtering,editing,queue,extension,efficiency,list,priority,comparison,manipulation,graph,stack,java"
22,"UX Engineer, Front End",CSE 214,0.1564927053172141,"scripting,including,solving,executing,exceeding,evaluating,evolving,estimating,establishing,fighting,user,framework,backbone,pre,ember,accessibility,design,ruby,processing,interface","programming,searching,sorting,exploiting,writing,explaining,existing,fitting,filtering,editing,queue,extension,efficiency,list,priority,comparison,manipulation,graph,stack,java"
23,Front End Software Engineer,CSE 214,0.147319190762937,"programming,using,including,evaluating,existing,evolving,executing,exercising,exceeding,engaging,interface,user,xul,gwt,xaml,flex,framework,cs,javascript,application","programming,searching,sorting,exploiting,writing,explaining,existing,fitting,filtering,editing,queue,extension,efficiency,list,priority,comparison,manipulation,graph,stack,java"
24,"Interaction Designer, Publisher UX",CSE 214,0.147319190762937,"expanding,defining,solving,evolving,exercising,exceeding,executing,evaluating,estimating,establishing,interaction,design,component,desktop,pattern,teamwork,create,designing,challenge,application","programming,searching,sorting,exploiting,writing,explaining,existing,fitting,filtering,editing,queue,extension,efficiency,list,priority,comparison,manipulation,graph,stack,java"
25,"Strategic Technology Partner Manager, Healthcare and Life Sciences",CSE 214,0.147319190762937,"growing,designing,developing,managing,working,evolving,exceeding,executing,exercising,establishing,life,healthcare,science,engineering,year,launch,partnership,variety,background,application","programming,searching,sorting,exploiting,writing,explaining,existing,fitting,filtering,editing,queue,extension,efficiency,list,priority,comparison,manipulation,graph,stack,java"
26,"Marketing Analyst, Product Growth",CSE 214,0.1438657527789473,"translating,evolving,exceeding,executing,evaluating,estimating,establishing,fighting,facing,finishing,retention,mapreduce,sa,hadoop,matlab,acquisition,analysis,package,php,programming","programming,searching,sorting,exploiting,writing,explaining,existing,fitting,filtering,editing,queue,extension,efficiency,list,priority,comparison,manipulation,graph,stack,java"
27,"Technical Specialist, Shopping, Google Professional Services (French)",CSE 214,0.1437727319949772,"troubleshooting,consulting,solving,evolving,exceeding,establishing,evaluating,estimating,executing,fighting,analytics,google,doc,solution,script,privacy,engine,app,optimization,tracking","programming,searching,sorting,exploiting,writing,explaining,existing,fitting,filtering,editing,queue,extension,efficiency,list,priority,comparison,manipulation,graph,stack,java"
28,"Business Systems Analyst, PLM and CAD",CSE 214,0.1425632231868803,"changing,exercising,existing,evolving,executing,exceeding,evaluating,establishing,expanding,estimating,chain,supply,background,windchill,creo,agile,deal,implementation,ambiguity,database","programming,searching,sorting,exploiting,writing,explaining,existing,fitting,filtering,editing,queue,extension,efficiency,list,priority,comparison,manipulation,graph,stack,java"
29,Staffing Services Associate Lead,CSE 214,0.1425632231868803,"structuring,achieving,scripting,working,including,exceeding,executing,evolving,evaluating,estimating,line,influence,inform,employee,optimization,create,story,decision,analyze,database","programming,searching,sorting,exploiting,writing,explaining,existing,fitting,filtering,editing,queue,extension,efficiency,list,priority,comparison,manipulation,graph,stack,java"
30,"Administrative Business Partner, Cloud",CSE 215,0.1915799227232734,"serving,using,solving,executing,exceeding,evolving,estimating,evaluating,establishing,exercising,conception,confidentiality,theory,expectation,efficiency,ability,completion,matter,diverse,function","programming,filtering,exploiting,explaining,existing,fitting,finding,editing,recursion,discrete,word,relation,induction,logic,mathematics,function,proof,foundation"
31,Payments Compliance Regulatory Licensing and Reporting Manager,CSE 215,0.1915799227232734,"involving,managing,implementing,evolving,evaluating,exercising,executing,exceeding,estimating,establishing,matrix,regulator,compliance,stream,guidance,payment,state,certification,law,function","programming,filtering,exploiting,explaining,existing,fitting,finding,editing,recursion,discrete,word,relation,induction,logic,mathematics,function,proof,foundation"
32,People Partner,CSE 215,0.1808729120012786,"coaching,working,solving,following,planning,consulting,exceeding,evaluating,finishing,finding,consultation,action,leader,change,recommendation,analysis,trend,set,quo,understand","programming,filtering,exploiting,explaining,existing,fitting,finding,editing,recursion,discrete,word,relation,induction,logic,mathematics,function,proof,foundation"
33,"High Performance Computing (HPC) Specialist, Google Cloud",CSE 215,0.1779413200242238,"passing,routing,architecting,programming,emerging,developing,including,evolving,exceeding,establishing,infrastructure,mpi,infiniband,docker,container,balancer,firewall,pitch,load,interface","programming,filtering,exploiting,explaining,existing,fitting,finding,editing,recursion,discrete,word,relation,induction,logic,mathematics,function,proof,foundation"
34,"UX Engineer, Front End",CSE 215,0.1779413200242238,"scripting,including,solving,executing,exceeding,evaluating,evolving,estimating,establishing,fighting,user,framework,backbone,pre,ember,accessibility,design,ruby,processing,interface","programming,filtering,exploiting,explaining,existing,fitting,finding,editing,recursion,discrete,word,relation,induction,logic,mathematics,function,proof,foundation"
35,"Marketing Analyst, Product Growth",CSE 215,0.168732027316259,"translating,evolving,exceeding,executing,evaluating,estimating,establishing,fighting,facing,finishing,retention,mapreduce,sa,hadoop,matlab,acquisition,analysis,package,php,programming","programming,filtering,exploiting,explaining,existing,fitting,finding,editing,recursion,discrete,word,relation,induction,logic,mathematics,function,proof,foundation"
36,"Software Engineer, Virtual Prototyping",CSE 215,0.1637689036368909,"exercising,evolving,exceeding,executing,evaluating,existing,estimating,establishing,expanding,filing,emulation,firmware,simulator,instruction,arm,translation,systemc,fpga,rtl,kernel","programming,filtering,exploiting,explaining,existing,fitting,finding,editing,recursion,discrete,word,relation,induction,logic,mathematics,function,proof,foundation"
37,"Global Campaigns Manager, Google Cloud (Apigee)",CSE 215,0.1617687890926996,"designing,including,managing,evaluating,exceeding,evolving,estimating,establishing,executing,extracting,marketing,abm,expertise,run,bb,attribution,generation,way,demand,solver","programming,filtering,exploiting,explaining,existing,fitting,finding,editing,recursion,discrete,word,relation,induction,logic,mathematics,function,proof,foundation"
38,"Account Manager, Retail Vertical",CSE 215,0.1607444352056417,"advertising,influencing,solving,working,evolving,exceeding,executing,estimating,evaluating,establishing,search,adwords,towards,google,display,productivity,knowledge,apps,video,sense","programming,filtering,exploiting,explaining,existing,fitting,finding,editing,recursion,discrete,word,relation,induction,logic,mathematics,function,proof,foundation"
39,"Customer Public Relations Manager, Google Cloud",CSE 215,0.1607444352056417,"trending,editing,writing,managing,evolving,executing,exceeding,evaluating,estimating,exercising,delegate,view,style,topic,point,ability,engage,ownership,accountability,sense","programming,filtering,exploiting,explaining,existing,fitting,finding,editing,recursion,discrete,word,relation,induction,logic,mathematics,function,proof,foundation"
40,"Marketing Analyst, Product Growth",CSE 216,0.1890641057656871,"translating,evolving,exceeding,executing,evaluating,estimating,establishing,fighting,facing,finishing,retention,mapreduce,sa,hadoop,matlab,acquisition,analysis,package,php,programming","programming,passing,including,existing,exploiting,explaining,fitting,filtering,level,modularity,recitation,abstraction,orientation,paradigm,parameter,variety,provide,java"
41,"High Performance Computing (HPC) Specialist, Google Cloud",CSE 216,0.1865386716607544,"passing,routing,architecting,programming,emerging,developing,including,evolving,exceeding,establishing,infrastructure,mpi,infiniband,docker,container,balancer,firewall,pitch,load,interface","programming,passing,including,existing,exploiting,explaining,fitting,filtering,level,modularity,recitation,abstraction,orientation,paradigm,parameter,variety,provide,java"
42,"UX Engineer, Front End",CSE 216,0.1865386716607544,"scripting,including,solving,executing,exceeding,evaluating,evolving,estimating,establishing,fighting,user,framework,backbone,pre,ember,accessibility,design,ruby,processing,interface","programming,passing,including,existing,exploiting,explaining,fitting,filtering,level,modularity,recitation,abstraction,orientation,paradigm,parameter,variety,provide,java"
43,"Solutions Architect, Healthcare and Life Sciences, Google Cloud",CSE 216,0.1677506124186847,"empowering,working,networking,designing,computing,developing,including,understanding,evolving,exceeding,life,science,bus,way,format,field,protocol,integration,delivery,variety","programming,passing,including,existing,exploiting,explaining,fitting,filtering,level,modularity,recitation,abstraction,orientation,paradigm,parameter,variety,provide,java"
44,"Software Engineer, Accessibility",CSE 216,0.1645454823349913,"learning,including,exceeding,evolving,engaging,executing,evaluating,estimating,exercising,establishing,retrieval,window,tcp,machine,interface,linux,information,passion,relevant,design","programming,passing,including,existing,exploiting,explaining,fitting,filtering,level,modularity,recitation,abstraction,orientation,paradigm,parameter,variety,provide,java"
45,Associate Legal Counsel (English and Russian),CSE 216,0.1628191517665982,"evaluating,executing,exceeding,evolving,engaging,estimating,establishing,exercising,fighting,finishing,convenience,power,request,query,matter,willingness,variety,negotiation,travel,architecture","programming,passing,including,existing,exploiting,explaining,fitting,filtering,level,modularity,recitation,abstraction,orientation,paradigm,parameter,variety,provide,java"
46,"Systems Architect Hardware Engineer, Home",CSE 216,0.1628191517665982,"streaming,finishing,evaluating,evolving,executing,exceeding,estimating,establishing,exercising,facing,cpu,dsp,chip,memory,bus,solver,communicator,knowledge,video,architecture","programming,passing,including,existing,exploiting,explaining,fitting,filtering,level,modularity,recitation,abstraction,orientation,paradigm,parameter,variety,provide,java"
47,"Account Executive, Democratic Elections",CSE 216,0.1583016312991579,"looking,buying,understanding,building,advertising,working,executing,evolving,exercising,exceeding,advance,marketplace,industry,relationship,commitment,google,advertiser,willingness,growth,flexibility","programming,passing,including,existing,exploiting,explaining,fitting,filtering,level,modularity,recitation,abstraction,orientation,paradigm,parameter,variety,provide,java"
48,"Content Policy Manager, Asia Pacific (Full-time/Part-time)",CSE 216,0.1583016312991579,"making,changing,evaluating,executing,evolving,exceeding,estimating,establishing,exercising,fighting,policy,convey,humor,exercise,environment,matter,player,sense,leader,flexibility","programming,passing,including,existing,exploiting,explaining,fitting,filtering,level,modularity,recitation,abstraction,orientation,paradigm,parameter,variety,provide,java"
49,"Inside Sales and Customer Growth Representative, Google Cloud (English, Mandarin, Cantonese)",CSE 216,0.1583016312991579,"reaching,exceeding,evolving,using,establishing,evaluating,estimating,facing,finishing,filing,cloud,goal,minutia,zoom,depth,picture,com,salesforce,crm,flexibility","programming,passing,including,existing,exploiting,explaining,fitting,filtering,level,modularity,recitation,abstraction,orientation,paradigm,parameter,variety,provide,java"
50,"Account Executive, Google Cloud",CSE 220,0.1926926250918768,"billing,understanding,thinking,exceeding,executing,evolving,evaluating,establishing,estimating,fighting,broadcast,video,cdn,wider,playout,catchup,encoders,transcoders,subscription,system","pipelining,including,programming,exploiting,explaining,existing,finding,fitting,filtering,editing,architecture,computer,instruction,processor,evaluation,path,representation,system,control,performance"
51,Operations Engineer,CSE 220,0.1926926250918768,"including,understanding,troubleshooting,working,evaluating,executing,evolving,exceeding,engaging,establishing,level,topology,installation,server,administration,hardware,linux,lead,infrastructure,system","pipelining,including,programming,exploiting,explaining,existing,finding,fitting,filtering,editing,architecture,computer,instruction,processor,evaluation,path,representation,system,control,performance"
52,"Program Manager, Web Producer, Google Cloud",CSE 220,0.1926926250918768,"scoping,reasoning,managing,solving,working,evaluating,exceeding,evolving,estimating,establishing,site,po,brief,schedule,marketo,scope,sow,api,payment,system","pipelining,including,programming,exploiting,explaining,existing,finding,fitting,filtering,editing,architecture,computer,instruction,processor,evaluation,path,representation,system,control,performance"
53,"High Performance Computing (HPC) Specialist, Google Cloud",CSE 220,0.1914164960151538,"passing,routing,architecting,programming,emerging,developing,including,evolving,exceeding,establishing,infrastructure,mpi,infiniband,docker,container,balancer,firewall,pitch,load,interface","pipelining,including,programming,exploiting,explaining,existing,finding,fitting,filtering,editing,architecture,computer,instruction,processor,evaluation,path,representation,system,control,performance"
54,"UX Engineer, Front End",CSE 220,0.1914164960151538,"scripting,including,solving,executing,exceeding,evaluating,evolving,estimating,establishing,fighting,user,framework,backbone,pre,ember,accessibility,design,ruby,processing,interface","pipelining,including,programming,exploiting,explaining,existing,finding,fitting,filtering,editing,architecture,computer,instruction,processor,evaluation,path,representation,system,control,performance"
55,"Software Engineer, Accessibility",CSE 220,0.1909909355454147,"learning,including,exceeding,evolving,engaging,executing,evaluating,estimating,exercising,establishing,retrieval,window,tcp,machine,interface,linux,information,passion,relevant,design","pipelining,including,programming,exploiting,explaining,existing,finding,fitting,filtering,editing,architecture,computer,instruction,processor,evaluation,path,representation,system,control,performance"
56,"Marketing Analyst, Product Growth",CSE 220,0.1903871767222881,"translating,evolving,exceeding,executing,evaluating,estimating,establishing,fighting,facing,finishing,retention,mapreduce,sa,hadoop,matlab,acquisition,analysis,package,php,programming","pipelining,including,programming,exploiting,explaining,existing,finding,fitting,filtering,editing,architecture,computer,instruction,processor,evaluation,path,representation,system,control,performance"
57,Associate Legal Counsel (English and Russian),CSE 220,0.1860536931548267,"evaluating,executing,exceeding,evolving,engaging,estimating,establishing,exercising,fighting,finishing,convenience,power,request,query,matter,willingness,variety,negotiation,travel,architecture","pipelining,including,programming,exploiting,explaining,existing,finding,fitting,filtering,editing,architecture,computer,instruction,processor,evaluation,path,representation,system,control,performance"
58,"Systems Architect Hardware Engineer, Home",CSE 220,0.1860536931548267,"streaming,finishing,evaluating,evolving,executing,exceeding,estimating,establishing,exercising,facing,cpu,dsp,chip,memory,bus,solver,communicator,knowledge,video,architecture","pipelining,including,programming,exploiting,explaining,existing,finding,fitting,filtering,editing,architecture,computer,instruction,processor,evaluation,path,representation,system,control,performance"
59,"Data Science Analyst, Revenue Strategy and Operations, Google Marketing Solutions",CSE 220,0.179542975872755,"translating,solving,evaluating,evolving,exceeding,exercising,executing,engaging,estimating,establishing,analysis,mathematics,recommendation,business,sql,result,judgment,master,science,computer","pipelining,including,programming,exploiting,explaining,existing,finding,fitting,filtering,editing,architecture,computer,instruction,processor,evaluation,path,representation,system,control,performance"
60,"Internal Audit, Technology Audit Manager",CSE 300,0.2056210778297527,"accepting,executing,exceeding,evolving,evaluating,estimating,establishing,exercising,explaining,fighting,process,cissp,cfe,charge,pmp,cisa,cia,coordinate,confidence,address","writing,programming,existing,explaining,filtering,exploiting,finding,communication,review,audience,literature,release,presentation,press,satisfies,address,division"
61,Account Strategist (Hebrew),CSE 300,0.1948990309610963,"advertising,working,executing,exceeding,evolving,evaluating,estimating,establishing,exercising,filing,desire,sector,improvement,spreadsheet,proficiency,research,medium,attention,detail,presentation","writing,programming,existing,explaining,filtering,exploiting,finding,communication,review,audience,literature,release,presentation,press,satisfies,address,division"
62,"Operations Manager, Global Partnerships",CSE 300,0.1948990309610963,"influencing,evolving,exercising,executing,evaluating,exceeding,estimating,establishing,existing,expanding,memo,format,deal,craft,story,compelling,ambiguity,challenge,leadership,presentation","writing,programming,existing,explaining,filtering,exploiting,finding,communication,review,audience,literature,release,presentation,press,satisfies,address,division"
63,"Strategic Partner Manager, Product Partnerships (Geo)",CSE 300,0.1948990309610963,"evolving,exercising,executing,exceeding,evaluating,existing,estimating,establishing,expanding,filing,lb,location,jd,ambiguity,information,management,partner,leadership,development,presentation","writing,programming,existing,explaining,filtering,exploiting,finding,communication,review,audience,literature,release,presentation,press,satisfies,address,division"
64,"Interaction Designer, Site Reliability - London",CSE 300,0.1909711211919784,"creating,tracking,emerging,evaluating,exercising,evolving,executing,exceeding,engaging,estimating,design,interaction,hci,teamwork,designing,quality,trend,user,market,communication","writing,programming,existing,explaining,filtering,exploiting,finding,communication,review,audience,literature,release,presentation,press,satisfies,address,division"
65,Portfolio Strategist,CSE 300,0.1909711211919784,"evolving,evaluating,exceeding,exercising,executing,estimating,engaging,expanding,establishing,existing,portfolio,holder,strategist,income,class,asset,others,role,influence,communication","writing,programming,existing,explaining,filtering,exploiting,finding,communication,review,audience,literature,release,presentation,press,satisfies,address,division"
66,Quantitative User Experience Research Lead,CSE 300,0.1909711211919784,"collaborating,leading,managing,evaluating,evolving,existing,exercising,executing,exceeding,engaging,researcher,position,negotiation,collaboration,relevant,year,industry,team,excellent,communication","writing,programming,existing,explaining,filtering,exploiting,finding,communication,review,audience,literature,release,presentation,press,satisfies,address,division"
67,"Strategy and Operations Manager, Go-To-Market, Partnerships",CSE 300,0.1909711211919784,"taking,evolving,expanding,existing,executing,exercising,exceeding,evaluating,estimating,establishing,embrace,mindset,effort,attention,master,detail,presentation,mba,environment,communication","writing,programming,existing,explaining,filtering,exploiting,finding,communication,review,audience,literature,release,presentation,press,satisfies,address,division"
68,"Technical Account Manager, Google Technical Services (Mandarin or Cantonese)",CSE 300,0.1909711211919784,"making,evolving,exceeding,executing,exercising,existing,expanding,evaluating,estimating,establishing,function,decision,collaboration,attention,detail,presentation,business,project,management,communication","writing,programming,existing,explaining,filtering,exploiting,finding,communication,review,audience,literature,release,presentation,press,satisfies,address,division"
69,"Industry Manager, Branding (English, Russian)",CSE 300,0.1758193816332256,"planning,consulting,existing,expanding,evolving,executing,exceeding,exercising,evaluating,estimating,brand,communication,board,core,adapt,challenge,consumer,solve,building,communicate","writing,programming,existing,explaining,filtering,exploiting,finding,communication,review,audience,literature,release,presentation,press,satisfies,address,division"
70,"Data Science Analyst, Revenue Strategy and Operations, Google Marketing Solutions",CSE 301,0.1903355503454804,"translating,solving,evaluating,evolving,exceeding,exercising,executing,engaging,estimating,establishing,analysis,mathematics,recommendation,business,sql,result,judgment,master,science,computer","computing,programming,exploiting,explaining,existing,filtering,world,device,development,century,ancient,need,microcomputer,microchip,history,age"
71,"High-level Synthesis Design Engineer, Consumer Hardware",CSE 301,0.1903355503454804,"breaking,turning,processing,prototyping,making,exercising,exceeding,evolving,executing,estimating,trade,offs,silicon,systemverilog,bash,verilog,fpga,cost,engineering,computer","computing,programming,exploiting,explaining,existing,filtering,world,device,development,century,ancient,need,microcomputer,microchip,history,age"
72,"New Product Quality Manager, Consumer Hardware",CSE 301,0.1903355503454804,"managing,solving,evolving,exceeding,executing,exercising,evaluating,estimating,establishing,engaging,cost,interconnect,driver,speak,quality,finance,issue,development,master,computer","computing,programming,exploiting,explaining,existing,filtering,world,device,development,century,ancient,need,microcomputer,microchip,history,age"
73,"Principal, Strategy, YouTube",CSE 301,0.1903355503454804,"compelling,modeling,presenting,solving,evaluating,exercising,executing,exceeding,evolving,establishing,software,way,spreadsheet,judgment,communicate,influence,master,science,engineering,computer","computing,programming,exploiting,explaining,existing,filtering,world,device,development,century,ancient,need,microcomputer,microchip,history,age"
74,Associate Legal Counsel (Commercial) Google Cloud,CSE 301,0.1902228901162743,"advising,upcoming,licensing,outsourcing,including,negotiating,drafting,working,exercising,executing,contract,jurisdiction,protection,transaction,law,change,speak,issue,client,software","computing,programming,exploiting,explaining,existing,filtering,world,device,development,century,ancient,need,microcomputer,microchip,history,age"
75,"Customer Reference Marketing Manager, Google Cloud",CSE 301,0.1902228901162743,"executing,evaluating,exceeding,evolving,engaging,estimating,exercising,establishing,filing,fighting,reference,region,customer,resource,agency,collaboration,communication,build,manage,software","computing,programming,exploiting,explaining,existing,filtering,world,device,development,century,ancient,need,microcomputer,microchip,history,age"
76,"Developer Advocate, Cloud Platform",CSE 301,0.1902228901162743,"presenting,working,evaluating,evolving,exercising,executing,exceeding,estimating,establishing,filing,consultant,conference,platform,community,party,partner,master,science,computer,software","computing,programming,exploiting,explaining,existing,filtering,world,device,development,century,ancient,need,microcomputer,microchip,history,age"
77,"Developer Advocate, Partner Engineering",CSE 301,0.1902228901162743,"interacting,working,evolving,exceeding,expanding,existing,exercising,executing,evaluating,engaging,application,web,architect,consultant,party,landscape,client,development,stakeholder,software","computing,programming,exploiting,explaining,existing,filtering,world,device,development,century,ancient,need,microcomputer,microchip,history,age"
78,"Partner Engineer, Google Assistant, Google Technical Services",CSE 301,0.1902228901162743,"developing,exceeding,evolving,depending,expanding,existing,exercising,executing,evaluating,estimating,nand,hdmi,usb,engagement,hardware,lead,influence,partner,stakeholder,software","computing,programming,exploiting,explaining,existing,filtering,world,device,development,century,ancient,need,microcomputer,microchip,history,age"
79,Senior Accountant,CSE 301,0.1902228901162743,"executing,exercising,evolving,exceeding,establishing,evaluating,estimating,existing,filing,fighting,hyperion,oracle,improvement,spreadsheet,proficiency,management,judgment,communicate,process,software","computing,programming,exploiting,explaining,existing,filtering,world,device,development,century,ancient,need,microcomputer,microchip,history,age"
80,People Partner,CSE 303,0.1786377527285367,"coaching,working,solving,following,planning,consulting,exceeding,evaluating,finishing,finding,consultation,action,leader,change,recommendation,analysis,trend,set,quo,understand","considering,relating,turing,including,exploiting,explaining,existing,fitting,finding,filtering,machine,computation,finite,expression,grammar,context,emphasis,question,function,addition"
